scorepam_fid,covcount,pointcount,scoreswin,hwlenkm,scores,venuecnt,userdayspa,dayspafina,sum_length,days_pa_km
421,10,4,0.406215,0.615437,0.406215,2,0,0,0,0
422,10,2,0.012644,1.235722,0.012644,1,0.123991,0.123991,1.235722,0.100339
423,11,2,0.010635,0.734583,0.010635,2,2.425961,2.425961,0.734583,3.302503
424,11,4,0.070282,1.77854,0.070282,4,10.95155,10.95155,1.77854,6.157606
425,11,4,0.058397,2.140509,0.058397,3,2.054795,2.054795,2.140509,0.959956
426,11,1,0.003102,0.629575,0.003102,1,3.57179,3.57179,0.629575,5.673336
427,11,1,0.000678,2.879485,0.000678,6,19.243326,19.243326,2.879485,6.682906
428,0,0,0,1.216235,0,0,0,0,0,0
429,0,0,0,0.683934,0,0,0,0,0,0
430,0,0,0,0.679071,0,0,0,0,0,0
431,0,0,0,1.549007,0,0,0,0,0,0
432,0,0,0,0.599595,0,0,0,0,0,0
433,0,0,0,1.826309,0,0,0,0,0,0
434,0,0,0,0.033139,0,0,0,0,0,0
435,0,0,0,1.204685,0,0,0.383942,0.383942,1.204685,0.318707
436,0,0,0,2.550365,0,0,0.5515,0.5515,2.550365,0.216244
437,0,0,0,14.090811,0,0,0.531502,0.531502,14.090811,0.03772
438,0,0,0,10.861417,0,0,0,0,0,0
439,0,0,0,5.000849,0,0,0,0,0,0
440,0,0,0,1.087801,0,0,0,0,0,0
441,0,0,0,0.57186,0,0,0,0,0,0
442,0,0,0,0.064754,0,0,0,0,0,0
443,0,0,0,0.977732,0,0,0,0,0,0
444,0,0,0,0.978605,0,0,0.484059,0.484059,0.978605,0.494642
445,0,0,0,0.443663,0,0,0,0,0,0
446,0,0,0,1.575844,0,0,0,0,0,0
447,0,0,0,0.665603,0,0,0,0,0,0
448,0,0,0,3.618452,0,0,0.166999,0.166999,3.618452,0.046152
449,0,0,0,1.978236,0,0,0,0,0,0
450,0,0,0,1.88252,0,0,0.157606,0.157606,1.88252,0.083721
451,0,0,0,7.368799,0,0,2.826265,2.826265,7.368799,0.383545
452,0,0,0,10.222956,0,0,0.997629,0.997629,10.222956,0.097587
453,0,0,0,3.261903,0,1,0,0,0,0
454,0,0,0,0.115052,0,0,0,0,0,0
455,0,0,0,0.027839,0,0,0,0,0,0
456,0,0,0,0.389587,0,0,0,0,0,0
457,0,0,0,1.214301,0,0,0,0,0,0
458,0,0,0,1.107618,0,0,0,0,0,0
459,0,0,0,1.647881,0,0,0.242745,0.242745,1.647881,0.147307
460,0,0,0,2.125925,0,0,0.096708,0.096708,2.125925,0.04549
461,0,0,0,2.180825,0,0,0.069571,0.069571,2.180826,0.031901
462,0,0,0,0.368042,0,0,0.112854,0.112854,0.368042,0.306633
463,0,0,0,1.150108,0,0,2.050555,2.050555,1.150108,1.782925
464,0,0,0,0.145333,0,0,6.571248,6.571248,0.145333,45.215141
465,0,0,0,0.258194,0,0,1.658396,1.658396,0.258194,6.423052
466,0,0,0,2.250929,0,0,0,0,0,0
467,0,0,0,2.888612,0,0,0,0,0,0
468,0,0,0,1.841352,0,0,0,0,0,0
469,0,0,0,0.106498,0,0,0,0,0,0
470,0,0,0,0.907581,0,0,0,0,0,0
471,0,0,0,1.171825,0,0,0,0,0,0
472,0,0,0,5.637547,0,0,1.903746,1.903746,5.637547,0.33769
473,0,0,0,4.130393,0,0,0.001395,0.001395,4.130393,0.000338
474,0,0,0,1.003885,0,0,0,0,0,0
475,0,0,0,0.292397,0,0,1.603389,1.603389,0.292397,5.483594
476,0,0,0,0.307405,0,0,0,0,0,0
477,0,0,0,2.152375,0,0,0,0,0,0
478,0,0,0,1.577836,0,0,11.378885,11.378885,1.577836,7.211703
479,0,0,0,1.012618,0,0,0,0,0,0
480,0,0,0,1.050581,0,0,0,0,0,0
481,0,0,0,0.57454,0,0,0.02354,0.02354,0.57454,0.040972
482,0,0,0,3.088064,0,0,0,0,0,0
483,0,0,0,2.100085,0,0,0,0,0,0
484,0,0,0,1.485925,0,0,0,0,0,0
485,0,0,0,0.31514,0,0,0,0,0,0
486,0,0,0,0.315027,0,0,0.000172,0.000172,0.315027,0.000546
487,0,0,0,0.667426,0,0,0.007301,0.007301,0.667426,0.010939
488,0,0,0,0.119623,0,0,0,0,0,0
489,0,0,0,1.959187,0,0,0.40801,0.40801,1.959187,0.208255
490,0,0,0,1.558455,0,0,0,0,0,0
491,0,0,0,2.371534,0,0,0,0,0,0
